//称号晋升配置表格,,,,,,,,,,
id(等级),攻击,生命,吸血,攻击伤害,消耗货币ID,消耗货币数量,消耗道具ID,消耗道具数量,特效展示,称号名称
0,0,0,0,0,0,0,0,0,0,
1,10,200,1,1,2,50000,2651,10,20010,九品侍郎
2,20,400,2,2,2,100000,2651,20,20011,八品骑士
3,30,600,3,3,2,200000,2651,30,20012,七品前锋
4,40,800,4,4,2,300000,2651,40,20013,六品护卫
5,50,1000,5,5,2,400000,2651,50,20014,五品左领
6,60,1200,6,6,2,500000,2651,100,20015,四品参将
7,70,1400,7,7,2,600000,2651,200,20016,三品大将
8,80,1600,8,8,2,700000,2651,300,20017,二品将军
9,90,1800,9,9,2,800000,2651,400,20018,一品统帅
10,100,2000,10,10,2,900000,2651,500,20019,万夫莫敌
11,110,2200,11,11,2,1000000,2651,600,20020,雄霸天下
12,120,2400,12,12,2,1100000,2651,700,20021,命・英雄无双
13,130,2600,13,13,2,1200000,2651,800,20022,王・傲视群雄
14,140,2800,14,14,2,1300000,2651,900,20023,霸・巅峰战神
15,150,3000,15,15,2,1400000,2651,1000,20024,屠・举世无双
16,160,3200,16,16,2,1500000,2651,1100,20025,尊・仙人降临
17,170,3400,17,17,2,1600000,2651,1200,20026,神・君临天下
18,180,3600,18,18,2,1700000,2651,1300,20027,祖・纵横三界
19,190,3800,19,19,2,1800000,2651,1400,20028,天外飞仙・修炼者
20,200,4000,20,20,2,1900000,2651,1500,20029,黑曼巴蛇・屠戮者
21,210,4200,21,21,2,2000000,2651,1600,20030,深渊螺妖・屠戮者
22,220,4400,22,22,2,2500000,2651,1700,20031,地狱摩罗・屠戮者
23,230,4600,23,23,2,3000000,2651,1800,20032,蛊降狱虫・屠戮者
24,240,4800,24,24,2,3500000,2651,1900,20033,秋岚公主・屠戮者
25,250,5000,25,25,2,4000000,2651,2000,20034,火云邪神・屠戮者
26,260,5200,26,26,2,4500000,2651,2100,20035,彩荷道姑・屠戮者
27,270,5400,27,27,2,5000000,2651,2200,20036,铁壁金刚・屠戮者
28,280,5600,28,28,2,5500000,2651,2300,20037,缥缈邪神・屠戮者
29,290,5800,29,29,2,6000000,2651,2400,20038,破馆魂师・屠戮者
30,300,6000,30,30,2,6500000,2651,2500,20039,冰域尸王・屠戮者
31,310,6200,31,31,2,7000000,2651,2600,20040,河谷魔神・屠戮者
32,320,6400,32,32,2,7500000,2651,2700,20041,诺玛教皇・屠戮者
33,330,6600,33,33,2,8000000,2651,2800,20042,狐月狼皇・屠戮者
34,340,6800,34,34,2,8500000,2651,2900,20043,魔龙教主・屠戮者
35,350,7000,35,35,2,9000000,2651,3000,20044,千年璇龟・屠戮者
36,360,7200,36,36,2,9500000,2651,3100,20045,万恶教主・屠戮者
37,370,7400,37,37,2,10000000,2651,3200,20046,暴虐君主・屠戮者
38,380,7600,38,38,2,10500000,2651,3300,20047,海贼头领・屠戮者
39,390,7800,39,39,2,11000000,2651,3400,20048,泰坦霸主・屠戮者
40,400,8000,40,40,2,11500000,2651,3500,20049,幽魂魔主・屠戮者
